timestamp,container,cpu_percent,memory_usage
2026-05-31 22:53:25,api-gateway,0.23,37.31MiB
2026-05-31 22:53:25,cart-service,0.30,36.58MiB
2026-05-31 22:53:25,product-service,0.27,35.66MiB
2026-05-31 22:53:25,order-service,0.26,42.32MiB
2026-05-31 22:53:28,api-gateway,0.24,37.31MiB
2026-05-31 22:53:28,cart-service,0.29,36.58MiB
2026-05-31 22:53:28,product-service,0.27,35.66MiB
2026-05-31 22:53:28,order-service,0.23,42.32MiB
2026-05-31 22:53:33,api-gateway,0.22,37.31MiB
2026-05-31 22:53:33,cart-service,0.18,36.58MiB
2026-05-31 22:53:33,product-service,0.23,35.78MiB
2026-05-31 22:53:33,order-service,0.22,42.32MiB
2026-05-31 22:53:37,api-gateway,0.20,37.31MiB
2026-05-31 22:53:37,cart-service,0.21,36.58MiB
2026-05-31 22:53:37,product-service,0.20,35.78MiB
2026-05-31 22:53:37,order-service,0.25,42.32MiB
2026-05-31 22:53:41,api-gateway,0.23,37.31MiB
2026-05-31 22:53:41,cart-service,0.21,36.58MiB
2026-05-31 22:53:41,product-service,0.21,35.78MiB
2026-05-31 22:53:41,order-service,0.30,42.32MiB
2026-05-31 22:53:45,api-gateway,0.21,37.31MiB
2026-05-31 22:53:45,cart-service,0.20,36.58MiB
2026-05-31 22:53:45,product-service,0.19,35.78MiB
2026-05-31 22:53:45,order-service,0.21,42.32MiB
2026-05-31 22:53:48,api-gateway,0.24,37.31MiB
2026-05-31 22:53:48,cart-service,0.27,36.58MiB
2026-05-31 22:53:48,product-service,0.27,35.78MiB
2026-05-31 22:53:48,order-service,0.26,42.32MiB
2026-05-31 22:53:53,api-gateway,13.42,46.67MiB
2026-05-31 22:53:53,cart-service,1.18,37.24MiB
2026-05-31 22:53:53,product-service,1.06,36.4MiB
2026-05-31 22:53:53,order-service,0.23,42.32MiB
2026-05-31 22:53:57,api-gateway,40.62,47.3MiB
2026-05-31 22:53:57,cart-service,2.05,37.35MiB
2026-05-31 22:53:57,product-service,1.72,36.48MiB
2026-05-31 22:53:57,order-service,2.11,43.1MiB
2026-05-31 22:54:01,api-gateway,40.23,48MiB
2026-05-31 22:54:01,cart-service,2.31,37.38MiB
2026-05-31 22:54:01,product-service,1.70,36.76MiB
2026-05-31 22:54:01,order-service,2.58,43.25MiB
2026-05-31 22:54:05,api-gateway,5.60,47.66MiB
2026-05-31 22:54:05,cart-service,0.58,37.41MiB
2026-05-31 22:54:05,product-service,0.41,36.5MiB
2026-05-31 22:54:05,order-service,0.65,43.27MiB
2026-05-31 22:54:08,api-gateway,0.24,47.36MiB
2026-05-31 22:54:08,cart-service,0.25,37.41MiB
2026-05-31 22:54:08,product-service,0.31,36.5MiB
2026-05-31 22:54:08,order-service,0.25,43.25MiB
2026-05-31 22:54:12,api-gateway,0.24,47.36MiB
2026-05-31 22:54:12,cart-service,0.23,37.41MiB
2026-05-31 22:54:12,product-service,0.25,36.5MiB
2026-05-31 22:54:12,order-service,0.25,43.25MiB
2026-05-31 22:54:17,api-gateway,0.27,47.36MiB
2026-05-31 22:54:17,cart-service,0.21,37.41MiB
2026-05-31 22:54:17,product-service,0.29,36.5MiB
2026-05-31 22:54:17,order-service,0.22,43.25MiB
2026-05-31 22:54:21,api-gateway,0.29,47.36MiB
2026-05-31 22:54:21,cart-service,0.26,37.41MiB
2026-05-31 22:54:21,product-service,0.23,36.5MiB
2026-05-31 22:54:21,order-service,0.28,43.25MiB
2026-05-31 22:54:25,api-gateway,0.24,47.36MiB
2026-05-31 22:54:25,cart-service,0.29,37.41MiB
2026-05-31 22:54:25,product-service,0.25,36.5MiB
2026-05-31 22:54:25,order-service,0.28,43.25MiB
2026-05-31 22:54:28,api-gateway,0.23,47.36MiB
2026-05-31 22:54:28,cart-service,0.28,37.41MiB
2026-05-31 22:54:28,product-service,0.27,36.5MiB
2026-05-31 22:54:28,order-service,0.27,43.25MiB
2026-05-31 22:54:33,api-gateway,0.23,47.36MiB
2026-05-31 22:54:33,cart-service,0.19,37.41MiB
2026-05-31 22:54:33,product-service,0.20,36.5MiB
2026-05-31 22:54:33,order-service,0.18,43.25MiB
2026-05-31 22:54:37,api-gateway,0.25,47.36MiB
2026-05-31 22:54:37,cart-service,0.24,37.41MiB
2026-05-31 22:54:37,product-service,0.23,36.5MiB
2026-05-31 22:54:37,order-service,0.27,43.25MiB
2026-05-31 22:54:41,api-gateway,0.22,47.36MiB
2026-05-31 22:54:41,cart-service,0.22,37.41MiB
2026-05-31 22:54:41,product-service,0.23,36.5MiB
2026-05-31 22:54:41,order-service,0.24,43.25MiB
